topic,topic_label,rank,topic_probability,text
3,Topic 3 — Provisional,1,0.07008136000582701,advised make complaint cfpb hope complaint toward banking institution state employee credit union get acknowledge loss fraudulent recognize lack guidance part made wire transfer amount last first call realized victimized told protects member would work get money back went credit union person report crime followed credit union officer direction file police report wait response real department decision cover loss also filed report federal trade commission fbi waited week finally told transaction could returned account signed wire transfer paper appealed teller month later told would look see money could recovered unlikely never heard back main complaint teller immediately consulted branch manager meet made large wire transfer way would able rethink decision thief would gotten retirement saving first time person posing called instructed return credit union change beneficiary wire transfer paper walked teller recognized said call come back transfer point feel like receive guidance reconsider transaction instead gave new beneficiary information provided thief went felt called branch manager statement provided fbi narrative chain event led loss fund face huge tax bill received email looked official stating order ready make purchase another gun called number email stated make purchase please call connected agent tried help disconnected different agent called told open app called phone call also failed finally man identified called asked open application desk top husband together time ran several search prove hacked would take care problem also gave figure pre authorized charge pending account one invoice give phone number call center bank said going send message someone would get back within minute person identifying called explained state employee credit union bank department questioned phone number explained bank headquarters gave exact figure preauthorized amount pending state employee credit union emailed put block account said fine also knew name told someone made request withdraw would make request quickly hacker would get gave rule said one could trusted hacker could someone even asked trusted week sent message advisor requesting appointment seemed like possible place hacker could gotten rule speak tell anyone talk family say problem resolved withdraw fund let know first call called back told keep phone line open could try catch hacker continued day hour phone husband phone always sincere concern promise situation corrected continued follow direction person always questioning title text message actual theft occurred weekend delayed transfer fund following directive called request withdrawal fund retirement fund told make scenario asked wanted withdraw fund said someone office could trusted agent taken aback explained could happen following monday husband requested fund cellphone fund would available thursday meantime husband open line heard request total amount requested withheld money tax open account digital bank desk computer afternoon gave specific instruction wiring checking account open morning made sure used exact name account opened wire transfer form wanted stay open line bank could hear saying teller name instructed wire money beneficiary account routing address suite beneficiary great duress husband side instructed act normal teller may trusted back car asked send picture wire document quickly told back bank teller put name stated account made beneficiary returning bank teller saw said call wire way name stated time unable transaction due stress explained teller correction changing name beneficiary mentioned teller call branch manager proceeded conduct wire transfer call continued husband phone called open desk desktop computer open account control computer began moving small amount reference explained smaller amount time hacker could trace sold reference began withdrawal using app computer said work mam mine email documentation withdrawal follow ref ref ref ref ref ref ref ref received email stating transaction cancelled would continue try told ignore final withdrawal ref apparently became ill hospital called open another account time continued monitor phone send text message called later verify account stay line called local verify would account trying get last retirement money texted asking gotten verification email yet moved checking account account concerned left move back checking account moved waiting verification begin securing fund account verified continuing sick trying follow get last money stolen reassuring even promising money back account soon spoke phone said going call fbi said trying scare scared working secure fund address text wait patiently everything find tomorrow question answered text account balance crypto com work looking help section figure wrong thing calling number email reply thinking much text even send email order reply already told certain step taken bank secure fund think much might effect health forget everything good sleep tomorrow get answer would happiest one whenever customer fraudulent charge every financial company aka sends email never call customer first text know charge fraudulent want call reply know owner financial advisor mark word tomorrow morning get answer everything fine tell call new secure line est next day inactivity old number new one created call number within minute call disconnect able back number contact cut went bank report incident closed checking account followed direction file police incidence report reference number following day week also made report ftc per account also called lock account made disputed report transaction report fbi also made narrative sent report complaint acknowledge role loss hopefully able return money account via
3,Topic 3 — Provisional,2,0.06901813961941496,year around work received phone call well fargo banking caller came well fargo phone number also matched phone number back well fargo debit card answered phone person line informed someone trying wire account calling confirm initiated wire transfer responded trying initiate wire assured nothing worry working getting resolved told call back later day get update getting phone bad feeling call went ahead dialed number back well fargo debit card make sure real call well fargo put authentication prompt reaching well fargo representative asked confirm call gotten actually well fargo illegal fraudulent wire transfer representative line assured yes indeed well fargo called told thanks calling staying vigilant calling talk well fargo representative confirming yes actually well fargo called felt reassured didnt feel need worry situation longer since called second time first suspicious phone call later evening around logged online banking app noticed money gonexxxx panic immediately drove local well fargo branch opened well fargo account walked branch explained bank teller happened bank teller tried get ahold two banker time including branch manager location teller explained situation two banker none banker local branch wanted help offer sort advice situation even though banker branch werent busy customer meeting time felt betrayed receiving help first branch desperately rushed another branch next city finally got help banker file fraud claim close account reopen new one initiate wire freeze recall stop fund next day year filed police report called back banker branch get update transfer kept reassuring wire transfer still pending account money fully gone checked transaction history later day still saw wire transfer amount still pending following day year logged well fargo app check status wire transfer upon checking saw wire transfer longer pending successfully gone quickly called number back well fargo debit card try get hold well fargo fraudulent department luck since weekend called well fargo fraudulent department year told could take business day get response back regarding claim also mentioned well fargo fraud department representative phone serious matter needed settled soon possible afford pay rent bill month last month persistent calling everyday week try get update well gather information name account number money sent way could forward local police department detective helping police report waiting almost week response back regarding illegal fraudulent wire transfer finally received letter mail stating responsible online wire even initiate also reimbursing money closed claim reading letter frustrated outcome decided call back banker branch assisting claim asked help escalate situation regarding claim decision banker mentioned much branch regarding situation told call well fargo online wire department get hold manager escalate situation called well fargo wire department get hold manager told would put manager call back list available moment expecting phone call within next hour waiting hour receive call back ever get manager call back banker branch file complaint also never got response back either called police detective helping case also try get type information told information name phone number detective able find believe case overlooked well fargo also called week file transaction dispute authorized week filed fraudulent transaction dispute well fargo shouldve noted already suspicious activity going account year still received help decided file complaint consumer financial protection bureau well fargo banking letting illegal unauthorized wire transfer made online account drove local well fargo branch spoke banker notified illegal unauthorized wire day happened also closed old online account filed police report well fargo issue wire recall well executive manager call back still spoken result feeling extremely stressed anxious everything supposed customer came victim fraud well fargo basically nothing help fact well fargo still let wire transfer even though already reported fraudulent day happened also made wire stay pending almost two day fund still released also want mention already previous fraudulent transaction already reported made account well fargo aware took reasonability fixing want claim responsibility fixing illegal unauthorized wire transfer decided reported day notified well fargo within business hour fraudulent wire already pending almost day still let wire waiting day initial cfpb complaint finally gotten back response letter well fargo stating deem responsible wiring fund claim remain denied credit provided well fargo already aware money stolen account twice illegal unauthorized wire transfer initiated would also like mention fact money stolen account money received insurance vehicle totaled accident money account week stolen twice account compromised day illegal wire transfer even made thief aware fact gotten paid insurance somehow able hack steal account electronic fund transfer act state consumer responsible unauthorized electronic fund transfer unless transfer made using card accepted account issuing institution provided way identify person using card mean consumer liable fraudulent transaction bank provide adequate security measure verify identity making transfer never received type verification identity last digit social date birth secret code even initiate transfer usually get text authorization sometimes pull money atm spend little normal appreciate understand thing happen wire transfer though largest transaction banking history first wire transfer approved within couple minute never written personal information anywhere even shared sensitive personal information anybody also never logged type device online banking except personal cell phone deal family work financial issue brought upon something partake financial institution doesnt want reimburse victim fraud want life right money reimbursed life back normal
3,Topic 3 — Provisional,3,0.0679590672681013,recently found bank account way negative instance went bank speak could possible looked account kind snickered saying made many purchase transfer forgot huh say shes going print copy recent transaction could reminded sarcastic tone asks make transfer account said yes course say continue wasnt money cover told let add account fund available bank account would say insufficient fund unable complete transaction naturally one would assume everything normal told opted overdraft coverage quickly cut told absolutely matter fact opened account going detail expressed indefinitely want coverage overdraft protection much stressed specifically agent would absolutely remember ask longer work said explained never never even believe overdraft protection raised dont cash pay dont need borrow get credit basically dont need told guilty many occasion clicking time get popups app surely couldnt easy accidentally add feature extra service matter fact didnt get text telling change made account checked phone setting app setting system end puzzled look face saying say receive text message update hmm dont know wanted know change made account past year didnt know couldnt seem answer question asked dont check app bank account everyday told wasnt aware let alone know anyone everyday point getting ready close started losing composure tear started running face seemed annoy even told went mailbox seen unemployment check inside point questioned fund used transaction day prior spoke new address changing direct deposit assumed since taken long receive returned fund longer sent via paper check requested coworker came whispered make note talk manager situation tomorrow call least help follow manager reluctantly next day manager call min explaining told nothing could branch said needed call customer service proceeded give later found xxxxxxxx lady department apologized didnt know would give number actually listened entire recap gave customer service correct number told needed speak department gave number transferred call many caller save place line would call back phone number lady called back saying thing opted cant anything looked like lady bank opted prior evening wont overdraft fee going forward also allowed dispute overdraft service fee per month point asked speak manager supervisor waited finish another phone call approx min first pleasant understood issue told didnt believe lady bank signing new service usually hassle bit page signing agreement sort cant possibly done pop closed using app said going try thru process app see easy hard opt reassured yes fact page fill info entered new customer etc way could accidentally opted overdraft protection ing simple pop ups clear throughout app signing added service whole demeanor point changed towards became short accusatory tone treated like thought closer page far process elimination could happened told basically nothing said xxxxto pay back amount negative repay covered overdraft protection never asked ever told recent change even occurred account sort snapped said never heard bank even credit union would even offer much overdraft coverage maybe something around mon almost call text warning brought attention negative half month including several overdraft service charge fee told per month disputed shock treat customer extent help figure went wrong said needed escalate higher personnel didnt feel going help look feeling implied trying get bank asked speak bos replied bos point frustration thing could think telling going see court cant possibly people get away shamble bill rent victim year ago finally getting back decent credit score working hard repairing feel hand tied running time figure another possible solution hold responsible happened barely saving left pay full rent lucky understanding patient landlord month already completely overwhelming even focus day day basis please advise matter soon possible thank time consideration attempt solve bank may concern yesterday made another attempt figure bank account issue similar couple week ago time tried different approach called dispute reoccuring charge merchant okay problem solved almost instantly asked anything else needed resolve quickly told yes proceeded ask could explain overdraft fee overdraft fee forgiven item listed early meant told never seen word overdraft anything figured must sort mistake perhaps fee forgiven next transaction said well merchant charge could help bank posted would transfer department like telling like look understanding couldnt waive overdraft fee told escalate supervisor supervisor put hold came back call aside supervisor continued tell working making adjustment account order remove overdraft truly seemed understand well supervisor little hour remained silent hold standby seemed optomistic helping resolve issue apologetic time eventually nowhere call drop call back short verification ask possible find talking supervisor right beside told might least find noted info since escalated manager attention transfered wasnt previously speaking one pushed searched tried really put effort next hour half waited manager response really listened best ability cross referenced checked prior note looked history log in etc manager response told manager feeding satisfy call asked think made sense based even know personally minute passed continued talk bos via messaging could hear typing fast argue matter behalf said make sense never problem past saying trying add fund linked bank account even asked available checking would immidiately tell insufficient fund bank institution declined sudden sometime early randomly change without warning continued back forth bos suppose response countered bos told transfer call would handle sincerely thanked agreed survey regarding quality customer service making clear good usbank said transfering call turn manager spoke last time made conversation bias attitude arrival mere second discussion talked continuously throughout duration call simply wanted management responsibility find could refer authorization make decision change necessary satisfy customer request account still got answer last time scripting default employee manual reference guide sorry nothing time fail bring account negative balance close account without discussion charge dont know contact point dilligently help solve account issue ceo chairman need find lawyer file police report contact cfpb write cant stand customer getting bullied financial institution accountable misleading misuse unethical practice turn around customer fault taking advantage customer chose bank wanted protect money asset giving soon pay deadline customer pay fund fraudulently manipulated closing account doesnt even mathmatically let alone ethically even morally serve posibility passive yet sarcastic tone fact wasnt route take try solve problem one else contact clear going admit bank violated agreement term condition signed contract opened account set perameters said account changed without consent unlawfully astounding get away intentional criminal conduct parent company bank national association fifth largest commercial bank united state nearly thank time logging online access found security alert account change via text notification completely turned set account set setting liking never problem receiving text alert
3,Topic 3 — Provisional,4,0.06759503684179498,year received attached text message well fargo shortly received phone call confirming fraudulent activity notifying several local branch fake tried withdraw money suspected based way transaction attempted someone inside well fargo involved rep told order prevent money taken well help catch culprit going set parallel account well fargo would link account would move money parallel account close initial account instructed move money account including available cash well fargo credit card withdraw branch take atm another well fargo branch redeposit went local branch took included cash advance credit card drove well fargo branch hometown rep set electronic debit card phone deposited cash atm increment balance around couple bill got stuck dont remember last complete amount rep stayed phone entire time total close hour also scheduled call back next day make sure everything parallel account went smooth banking hour next morning call never came realized immediately happened part mistreatment mishandling disgusting fee well fargo morning contact fraud department right away told would week investigate fraud rep told would keep touch keep updated phone call week passed follow called could reach person assigned case spoke another person took detail asked specifically phone number person said rep contacted provided told would take week point got upset talking month lot money including saving told would give weekly update one ever got back got letter mail saying case closed called told never provided phone number case would opened argued provided number getting bit ridiculous say call recorded could pulled tape meantime made trip branch office people sympathized said seeing nothing could case already opened told deposited money right atm money made initial phone call wait ended calling follow lost patience rep asked escalated higher level time put touch rep named assured would take care case would keep updated loop investigation never happened started emailing fraud department regular basis contacted board director trying get someone attention got automated response every time acknowledged situation got notice saying going take another month investigate called said please let know going please make sure documented properly complicated told specifically deposit made told time place phone number caller information last phone call bos told nothing could investigation completed received letter stating case closed since time debit card hacked time year received call exact customer service number back debit card also meantime charged interest cash advance fee cash advance initially told everything would frozen investigation completed never happened able borrow money put back cover cash advance still interest come due dont pay risk screwing credit car insurance going etc etc well fargo done absolutely nothing help situation obviously transfer deposited flagged never reached fraud control failed based previously history funding bogus account would think would high priority month phone call discus even investigation initial text message hope serious attention matter supposed know customer policy place obviously know care fraudulent account institution seem interest tracking account holder took money suspicious supposed stronger control average appreciate time hope get resolution continues painful experience family mention absolute lack professionalism justice respectfully
3,Topic 3 — Provisional,5,0.06729238942552676,complaint unprofessional handling suntrust client account compromised suntrust also called truist refer bank suntrust monday received fraudulent call someone masquerading suntrust employee phone call came actual suntrust phone number person used speaking pattern asked credential normal suntrust employee use asked claiming fraudulent transaction attempt card asked verify primary account holder asked last number account security question pin normal question suntrust asks phone started asking username password became suspicious call refused give information within minute call called number back directed suntrust immediately got hold fraud department asked called first person spoke woman named verified suntrust call day already route physical suntrust location well hung phone impression already marked account compromised banker site location went georgia merely advised open separate checking account transfer money point also went ahead changed password username security question account transferring money caused overdraft fee also pay even though whole situation could handled actual employee suntrust instead made called back hour later around ask expedited card talked employee gave name found first checking account never marked fraudulent compromised frustrated asked protect account identity instead answering question kept repeatedly asking send card new account want person physical branch kept repeating cellular number calling number used open account could authenticated listen concern offer suggestion gave impression tuned entire time asked manager insisted manager would available suddenly manager available would available made sense requested anyway night received call unknown number afraid fraud call answer getting voice mail realized manager suntrust understand use suntrust number call next day went person physical bank branch via appointment spoke banker name verifying situation want acknowledge could disgruntled suntrust employee account information also want admit could victim suntrust hack information million suntrust client stolen kept trying push blame onto kept trying state suntrust responsible also commented extensive suntrust notation system even though pointed first person spoke even flag checking account compromised also notation regarding attempt notify suntrust fraud information request protect frustrated kept asking want asked close checking account compromised expedite card new checking account far identity protection measure offered get higher tier account suntrust pay protect would deepen relationship suntrust proven care customer thinking everything soon taken care left office compromised checking account disappeared mobile app impression everything fine however next morning woke fraudulent charge ach transaction panicked called suntrust spoke man named fraud department told situation suntrust point wanted audio recording stating wanted transaction could explain checking account fully removed fact despite assured suntrust extensive dependable notation system told request close compromised checking account done could possible went person request closure understand could try prevent fraudulent activity suntrust could allow happen anyway sounded like first experienced component person fraud department suntrust however kept getting told fraud department knowledge close account thats true could suntrust tell transfer someone point needed someone higher tier asked speak manager fraud department waited another minute manager fraud department already came phone ready fight also kept insisting fraud department close account asked notation state request close account came spoken fraud department date asked first person spoke mark account compromised called phone mysteriously hung never got call back decide call first answered branch woman answered phone rude told calling regarding fraud case tried tell suntrust would caught already reported told lie call notify suntrust kept cutting stating let finish rude knowing refused give name every time asked put hold minute waited come phone answered short kept repeating time client waiting could try call later asked anyone else suntrust put transaction freeze checking account notified suntrust account compromised first reaction yeah completely slipped mind course action could take told call number get done obvious fraud department vastly unprofessional point asked speak manager told branch manager return week later continuously stating event emergency report company leaf without leaving behind line command emergency individual revealed branch manager even bos someone work different location name called honestly first understanding polite person spoke suntrust entire day dealing put freeze account offered put complaint higher management know tried assure suntrust top new case opened fraudulent transaction also told going give case another person branch going vacation next day would call end day second person referred never called back point fully convinced suntrust truist care client compromised care client information stolen cost suntrust money went physical branch worked pulled money requested close account new checking account opened closed even day waiting also called fdic complain referred call suntrust truist main branch north carolina left message name phone number office day detail case yet receive call back contacted suntrust truist via messaging close remaining account suntrust care handle compromised account offer sort help client suntrust also highly speaks extensive notation clear notation system work communication different department department like throw hand claim handle thing experience learned suntrust care take responsibility accountability ready blame anyone recommend anyone care money identity never bank suntrust
4,Topic 4 — Provisional,1,0.2787375889657384,filing complaint cash app block inc due inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app failed take timely effective measure prevent address fraud platform leaving account vulnerable unprotected furthermore dispute resolution process unfair deceptive comply error resolution requirement electronic fund transfer act efta regulation action caused significant inconvenience financial loss seek appropriate redress violation
4,Topic 4 — Provisional,2,0.27860054114066973,filing complaint cash app block inc due inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app failed take timely effective measure prevent address fraud platform leaving account vulnerable unprotected furthermore dispute resolution process unfair deceptive comply error resolution requirement electronic fund transfer act efta regulation action caused significant inconvenience financial loss seek appropriate redress violation cash app name
4,Topic 4 — Provisional,3,0.2784297635915742,filing complaint cash app block inc due inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app failed take timely effective measure prevent address fraud platform leaving account vulnerable unprotected furthermore dispute resolution process unfair deceptive comply error resolution requirement electronic fund transfer act efta regulation action caused significant inconvenience financial loss seek appropriate redress violation amount
4,Topic 4 — Provisional,4,0.27756691821687074,filing complaint cash app block inc due inadequate customer service unfair practice violate consumer financial protection act cfpa specifically cash app failed take timely effective measure prevent address fraud platform leaving account vulnerable unprotected furthermore dispute resolution process unfair deceptive comply error resolution requirement electronic fund transfer act efta regulation action caused significant inconvenience financial loss seek appropriate redress violation cashapp
4,Topic 4 — Provisional,5,0.2769081016899821,filing complaint cash app block inc due inadequate customer service unfair practice violate consumet financial protection act cfpa specifically cash app failed take timely effective measure prevent address fraud platform leaving account vulnerable unprotected furthermore dispute resolution process unfair deceptive comply error resolution requirement electronic fund transfer act efta regulation action caused significant inconvenience financial loss seek appropriate redress violation
5,Topic 5 — Provisional,1,0.23947233474287094,cfpb complaint filed request pursuant fcra experian credit reporting agency block information appearing consumer credit report result identity theft fraud within business day receiving complaint fraudulent inaccurate false information consists telephone mobile account opened account number amount account resulted several fraudulent hard inquiry fraudulent collection appearing consumer fico credit report attached list hard inquiry question well copy consumer fico credit report maintained show aforementioned fraudulent item recognize aforementioned account collection hard inquiry reported aforementioned account collection hard inquiry appearing consumer credit report maintained opened made initiated aforementioned account collection hard inquiry result identity theft fraud attached copy ftc identity theft criminal complaint proof federal trade commission aforementioned consumer credit account collection hard inquiry result identity theft fraud
5,Topic 5 — Provisional,2,0.23875857693948524,cfpb complaint filed request pursuant fcra equifax credit reporting agency block information appearing consumer credit report result identity theft fraud within business day receiving complaint fraudulent inaccurate false information consists xxxxxx account resulted several fraudulent hard inquiry fraudulent collection appearing consumer fico credit report ive attached list hard inquiry question well copy consumer fico credit report maintained show aforementioned fraudulent item recognize aforementioned account collection hard inquiry reported aforementioned account collection hard inquiry appearing consumer credit report maintained opened made initiated aforementioned account collection hard inquiry result identity theft fraud attached copy ftc identity theft criminal complaint proof federal trade commission aforementioned consumer credit account collection hard inquiry result identity theft fraud
5,Topic 5 — Provisional,3,0.2387356258169991,cfpb complaint filed request pursuant fcra transunion credit reporting agency block information appearing consumer credit report result identity theft fraud within business day receiving complaint fraudulent inaccurateand false information consist personal credit card account auto loan personal loansand open end unsecured consumer account follows account xxxxxxxx xxxxxxxx date opened balance account resulted several fraudulent hard inquiry fraudulent collection appearing consumer credit report ive attached list hard inquiry question well copy consumer fico credit report maintained show said fraudulent item recognize account collection hard inquiry reported aforementioned account collection hard inquiry appearing consumer credit report maintained opened made initiated said account collection hard inquiry result identity theft fraud attached copy ftc identity theft criminal complaint case number proof federal trade commission aforementioned consumer credit account collection hard inquiry fact result identity theft fraud
5,Topic 5 — Provisional,4,0.23851276565620977,cfpb complaint filed request pursuant fcra credit reporting agency block information appearing consumer credit report result identity theft fraud within business day receiving complaint fraudulent inaccurate false information consists account resulted several fraudulent hard inquiry fraudulent collection appearing consumer fico credit report aforementioned account collection hard inquiry result identity theft fraud attached copy ftc identity theft criminal complaint proof federal trade commission aforementioned consumer credit account collection hard inquiry result identity theft fraud
5,Topic 5 — Provisional,5,0.23843422924279944,cfpb complaint filed request pursuant fcra transunion credit reporting agency block information appearing consumer credit report result identity theft fraud within business day receiving complaint fraudulent inaccurate false information consists account resulted several fraudulent hard inquiry fraudulent collection appearing consumer fico credit report aforementioned account collection hard inquiry result identity theft fraud attached copy ftc identity theft criminal complaint proof federal trade commission aforementioned consumer credit account collection hard inquiry result identity theft fraud
6,Topic 6 — Provisional,1,0.10800792148258097,date request debt validation account may concern writing response letter phone call received alleged debt company claim owe please advised formal request validation alleged debt provided fair debt collection practice act fdcpa requesting following information name address original creditor full amount alleged debt including breakdown interest fee charge copy original contract agreement bearing signature proof agency legally authorized collect debt state verification licensed collect debt state including license number registered agency name please cease collection effort including reporting credit bureau provide requested validation advised failure provide information within day receiving letter considered violation fdcpa letter refusal pay request clarification proof regarding debt question sincerely
6,Topic 6 — Provisional,2,0.10710242615267074,xxxxxxxx xxxxxxxx xxxxxxxx subject request debt validation dear writing response recent communication regarding alleged debt please advised requesting validation debt right fair debt collection practice act fdcpa please provide following information name original creditor amount alleged debt copy original contract agreement created debt detailed accounting debt amount calculated proof authorized collect debt state provide proper validation request cease collection activity refrain reporting debt credit reporting agency please note attempt collect debt without providing validation violation fdcpa keeping record correspondence future reference sincerely
6,Topic 6 — Provisional,3,0.10701119505822466,may concern requesting validation alleged debt claim owe refusal pay request proof fair debt collection practice act please provide following name address original creditor amount claim owe full itemization debt proof legal right collect debt including chain assignment ownership copy original signed contract agreement bearing signature verification statute limitation expired alleged debt license number state licensed collect debt provide requested validation must cease collection activity including reporting verifying debt credit reporting agency already reported debt credit bureau please consider letter dispute information expect response within legally required timeframe
6,Topic 6 — Provisional,4,0.10602226253445841,debt validation letter year credence resource management request debt validation fdcpa may concern writing response notice received office regarding alleged debt pursuant fair debt collection practice act fdcpa formally requesting provide full validation debt claim owe please provide following documentation name mailing address original creditor exact amount alleged debt including interest fee charge copy original contract agreement bearing signature proof legal obligation pay copy judgment applicable proof agency authorized collect debt state illinois acknowledge accept responsibility alleged debt request collection effort cease validation provided furthermore please report continue report alleged debt credit reporting agency matter resolved letter refusal pay request validation please respond request writing within day receiving letter sincerely
6,Topic 6 — Provisional,5,0.10588573519849344,subject debt validation request pursuant fdcpa dear meridian fin responding communication regarding alleged debt letter sent accordance right fair debt collection practice act fdcpa pursuant request provide proper validation debt claim owe please provide following validation debt amount alleged including itemized accounting fee interest charge proof ownership documentation company legal right collect account including original assignment bill sale contract agreement copy original contract signed agreement creating debt creditor information name address original creditor date alleged default charge licensing proof agency licensed collect debt state provide requested documentation must cease collection activity refrain reporting verifying account credit reporting agency failure validate violates federal law advised attempt collect debt without proper validation direct violation fdcpa reserve right report violation consumer financial protection bureau cfpb federal trade commission ftc state attorney general office
7,Topic 7 — Provisional,1,0.11358154202290092,lexisnexis risk solution xxxxxxxx xxxxxxxx subject formal dispute inaccurate charge reporting account name ssn last dob dear lexis nexis formal dispute legal demand regarding continued unlawful reporting charge xxxxxxxx account lexisnexis major credit reporting agency reporting inaccurate misleading direct violation federal texas consumer protection law including applicable law guideline fair credit reporting act fcra duty maintain maximum possible accuracy reported information duty conduct reasonable reinvestigation disputed information furnishers duty investigate correct inaccurate incomplete information restriction unauthorized reinsertion deleted data compliance guideline required accurate reporting date first delinquency dofd account status dispute flag prevent misrepresentation texas finance code mandate furnishers cras maintain reasonable procedure assure maximum accuracy texas credit reporting consumer act tccra tex fin code chapter prohibits reporting inaccurate unverifiable information requires prompt correction texas deceptive trade practice act dtpa tex bus com code prohibits unfair deceptive act including false credit reporting relevant case law supporting dispute xxxxxxxx xxxxxxxx credit reporting agency furnishers must independently verify disputed information beyond automated response cir furnishers liable fcra failing conduct reasonable investigation continuing report inaccurate information xxxxxxxx unauthorized reinsertion previously deleted data violates fcra reinsertion provision cir willful failure remove clearly inaccurate information dispute creates liability punitive damage failure properly report standard constitutes inaccurate reporting fcra reporting issue account continues reported charge despite multiple dispute via lexisnexis credit bureau incomplete outdated unverifiable payment history dofd lack proper metro dispute flag account previously deleted reinserted per activity reinsertion notice provided violating fcra failed properly investigate dispute required verify accuracy information supporting documentation comply reporting standard prevents inaccurate misleading consumer information demand immediate action hereby demanded immediately delete suppress derogatory information related charge consumer reporting agency lexisnexis database provide full method verification mov including data source date obtained complete payment history compliance code reinsertion date documentation applicable mark account dispute credit report using provide written confirmation within day letter confirming removal correction failure comply result complaint consumer financial protection bureau cfpb texas attorney general civil lawsuit actual statutory punitive damage fcra texas law seeking recovery legal fee court cost willful noncompliance letter constitutes formal notice dispute preservation right claim federal state law sincerely
7,Topic 7 — Provisional,2,0.10998269053384545,authorizing submission dispute letter filing complaint consumer financial protection bureau online system behalf authorization serf confirmation reviewed approved directed action ensure right fair credit reporting act fcra fully protected filing formal complaint consumer financial protection bureau cfpb regarding citis failure properly verify correct inaccurate information reported credit file despite dispute creditor allegedly verified account accurate transunion yet provided documentation evidence support verification clear violation fair credit reporting act fcra requires furnishers information conduct reasonable investigation maintain accurate verifiable information citihas failed provide requested evidentiary documentation explain procedure taken ensure accuracy information reported citi
